id,title,author/0,author/1,author/2,institution/0,citedby/0,year,author/3,institution/1,cites/0,cites/1,cites/2,cites/3,cites/4,cites/5,citedby/1,author/4,citedby/2,citedby/3,citedby/4,citedby/5,citedby/6,citedby/7,citedby/8,citedby/9,citedby/10,citedby/11,citedby/12,citedby/13,citedby/14,citedby/15,citedby/16,institution/2,citedby/17,citedby/18,citedby/19,citedby/20,citedby/21,citedby/22,citedby/23,citedby/24,citedby/25,citedby/26,citedby/27,citedby/28,citedby/29,citedby/30,citedby/31,citedby/32,citedby/33,citedby/34,citedby/35,citedby/36,citedby/37,citedby/38,citedby/39,citedby/40,citedby/41,citedby/42,citedby/43,citedby/44,citedby/45,citedby/46,citedby/47,citedby/48,citedby/49,citedby/50,citedby/51,citedby/52,citedby/53,citedby/54,citedby/55,citedby/56,citedby/57,citedby/58,citedby/59,citedby/60,citedby/61,author/5,author/6,institution/3,cites/6,cites/7,cites/8,citedby/62,citedby/63,citedby/64,citedby/65,citedby/66,citedby/67,citedby/68,citedby/69,citedby/70,citedby/71,citedby/72,citedby/73,citedby/74,citedby/75,citedby/76,citedby/77,citedby/78,citedby/79,citedby/80,citedby/81,citedby/82,citedby/83,citedby/84,citedby/85,citedby/86,citedby/87,citedby/88,institution/4,institution/5,institution/6,author/7,cites/9,author/8,author/9,author/10,author/11,author/12,author/13,cites/10,cites/11,institution/7,institution/8,cites/12,cites/13,cites/14,cites/15,cites/16,cites/17,cites/18,cites/19,cites/20,cites/21,cites/22,cites/23
10.1007/978-3-540-70904-6_42,The Website for Graph Visualization Software citess (GVSR),Bruno Pinaud,Pascale Kuntz,Fabien Picarougne,LINA - Polytech’Nantes,10.1007/978-3-642-11805-0_13,2006,,,10.1007/3-540-45848-4_58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-540-77537-9_37,Treemaps for Directed Acyclic Graphs,Ioannis G. Tollis,Sofia Triantafilou,Vassilis Tsiaras,University of Crete,10.1007/978-3-642-00219-9_50,2007,,Foundation for Research and Technology-Hellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_13,Clustered Planarity: Embedded Clustered Graphs with Two-Component Clusters,Bernard Lidický,Eva Jelínková,Jan Kratochvíl,Charles University,10.1007/978-3-662-45803-7_37,2008,Vít Jelínek,,10.1007/978-3-540-77537-9_29,10.1007/11618058_20,10.1007/978-3-540-31843-9_12,10.1007/11618058_5,10.1007/3-540-36151-0_21,10.1007/978-3-540-77537-9_30,10.1007/978-3-642-11805-0_8,,10.1007/978-3-642-36763-2_9,10.1007/978-3-662-45803-7_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-540-70904-6_41,Partitions of Graphs into Trees,Franz J. Brandenburg,Therese Biedl,,University of Waterloo,,2006,,Universität Passau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-540-77537-9_38,Drawing Graphs with GLEE,Lev Nachmanson,Bongshin Lee,George Robertson,Microsoft Research,10.1007/978-3-540-77537-9_38,2007,,,10.1007/3-540-45848-4_3,10.1007/978-3-540-31843-9_17,10.1007/3-540-36151-0_10,10.1007/3-540-63938-1_68,10.1007/3-540-36151-0_13,,10.1007/978-3-642-18469-7_30,,10.1007/978-3-642-25878-7_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_10,Rapid Multipole Graph Drawing on the GPU,Apeksha Godiyal,Michael Garland,John C. Hart,NVIDIA Corp.,10.1007/978-3-642-18469-7_8,2008,Jared Hoberock,University of Illinois,10.1007/11618058_22,10.1007/3-540-44541-2_17,10.1007/3-540-44541-2_18,10.1007/3-540-44541-2_20,10.1007/3-540-44541-2_21,,10.1007/978-3-319-27261-0_3,,10.1007/978-3-319-27261-0_4,10.1007/978-3-319-27261-0_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-540-70904-6_40,Schnyder Woods and Orthogonal Surfaces,Florian Zickfeld,Stefan Felsner,,Technische Universität Berlin,10.1007/978-3-662-45803-7_25,2006,,,,,,,,,10.1007/978-3-540-70904-6_40,,10.1007/978-3-642-18469-7_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-540-77537-9_39,Graph Drawing Contest Report,Georg Sander,Stephen G. Kobourov,Christian A. Duncan,Louisiana Tech University,,2007,,IBM ILOG Visualization Group,,,,,,,,,,,,,,,,,,,,,,,,University of Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_11,Clustered Planarity: Clusters with Few Outgoing Edges,Ondřej Suchý,Tomáš Vyskočil,Vít Jelínek,Charles University,10.1007/978-3-662-45803-7_37,2008,Marek Tesař,,10.1007/978-3-540-77537-9_29,10.1007/11618058_20,10.1007/978-3-540-31843-9_12,10.1007/3-540-62495-3_42,10.1007/3-540-36151-0_21,10.1007/978-3-540-77537-9_30,10.1007/978-3-642-36763-2_9,,10.1007/978-3-662-45803-7_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_31,Confluent Drawing Algorithms Using Rectangular Dualization,Massimo Ancona,Gianluca Quercini,,Università di Genova,10.1007/978-3-319-03841-4_31,2010,,University of Maryland,10.1007/978-3-540-31843-9_20,10.1007/BFb0021809,10.1007/978-3-540-31843-9_32,10.1007/978-3-540-24595-7_1,10.1007/3-540-63938-1_58,10.1007/11618058_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/978-3-540-70904-6_39,10.1007/3-540-62495-3_49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_30,Improving Layered Graph Layouts with Edge Bundling,Lev Nachmanson,Michael Kaufmann,Sergey Pupyrev,Microsoft Research,10.1007/978-3-319-03841-4_34,2010,,Ural State University,10.1007/978-3-540-31843-9_20,10.1007/978-3-540-77537-9_38,10.1007/978-3-642-00219-9_33,10.1007/978-3-642-25878-7_9,10.1007/978-3-540-77537-9_24,10.1007/978-3-540-70904-6_37,,,,,,,,,,,,,,,,,,Universität Tübingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_35,Convex Polygon Intersection Graphs,Erik Jan van Leeuwen,Jan van Leeuwen,,University of Bergen,10.1007/978-3-642-18469-7_35,2010,,Utrecht University,10.1007/3-540-62495-3_53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_34,The Quality Ratio of RAC Drawings and Planar Drawings of Planar Graphs,Marc van Kreveld,,,Utrecht University,10.1007/978-3-642-25878-7_15,2010,,,10.1007/978-3-642-11805-0_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_33,Universal Pointsets for 2-Coloured Trees,Henk Meijer,Giuseppe Liotta,Mereke van Garderen,Università degli Studi di Perugia,,2010,,Roosevelt Academy,10.1007/3-540-62495-3_33,10.1007/978-3-540-70904-6_31,10.1007/3-540-46648-7_17,10.1007/3-540-37623-2_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_32,How to Draw a Tait-Colorable Graph,David A. Richter,,,Western Michigan University,,2010,,,10.1007/978-3-540-70904-6_13,10.1007/978-3-642-00219-9_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-540-77537-9_29,Efficient C-Planarity Testing for Embedded Flat Clustered Graphs with Small Faces,Fabrizio Frati,Giuseppe Di Battista,,Università di Roma Tre,10.1007/978-3-540-77537-9_29,2007,,,10.1007/11618058_20,10.1007/978-3-540-31843-9_12,10.1007/11618058_5,10.1007/3-540-36151-0_21,,,10.1007/978-3-662-45803-7_37,,10.1007/978-3-662-45803-7_36,10.1007/978-3-642-00219-9_12,10.1007/978-3-642-11805-0_8,10.1007/978-3-642-00219-9_13,10.1007/978-3-642-00219-9_11,10.1007/978-3-662-45803-7_35,10.1007/978-3-319-03841-4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_49,ILOG Elixir,Georg Sander,,,IBM ILOG Visualization Group,10.1007/978-3-642-00219-9_49,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_28,Complexity of Finding Non-Planar Rectilinear Drawings of Graphs,Ján Maňuch,Chris Thachuk,Murray Patterson,National Tsing Hua University,10.1007/978-3-662-45803-7_29,2010,Sheung Hung Poon,University of British Columbia,10.1007/978-3-642-11805-0_23,10.1007/3-540-45848-4_31,10.1007/11618058_37,10.1007/3-540-58950-3_384,10.1007/978-3-642-00219-9_9,10.1007/978-3-540-24595-7_36,10.1007/978-3-642-25878-7_35,,,,,,,,,,,,,,,,,Simon Fraser University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_27,Drawing Planar Graphs of Bounded Degree with Few Slopes,János Pach,Balázs Keszegh,Dömötör Pálvölgyi,Ecole Politechnique Fédérale de Lausanne,10.1007/978-3-662-45803-7_28,2010,,Alfréd Rényi Institute of Mathematics,10.1007/978-3-540-70904-6_13,10.1007/978-3-642-11805-0_29,10.1007/11618058_30,10.1007/3-540-36151-0_15,,,10.1007/978-3-662-45803-7_15,,10.1007/978-3-319-03841-4_13,10.1007/978-3-319-03841-4_36,10.1007/978-3-642-25878-7_25,,,,,,,,,,,,,Eötvös University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_47,Visual Specification of Layout,Steffen Mazanek,Mark Minas,Sonja Maier,Universität der Bundeswehr München,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_26,Dot Product Representations of Planar Graphs,Ross J. Kang,Tobias Müller,,Durham University,,2010,,Centrum Wiskunde & Informatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_48,Spine Crossing Minimization in Upward Topological Book Embeddings,Tamara Mchedlidze,Antonios Symvonis,,National Technical University of Athens,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_25,On Maximum Differential Graph Coloring,Sankar Veeramoni,Yifan Hu,Stephen Kobourov,AT&T Research,10.1007/978-3-662-45803-7_8,2010,,University of Arizona,10.1007/3-540-45848-4_36,10.1007/978-3-540-70904-6_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-540-77537-9_25,Algorithms for Multi-criteria One-Sided Boundary Labeling,Marc Benkert,Moritz Kroll,Martin Nöllenburg,TU Eindhoven,,2007,Herman Haverkort,Universität Karlsruhe,10.1007/978-3-540-31843-9_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_45,A Robust Biclustering Method Based on Crossing Minimization in Bipartite Graphs,Cesim Erten,Melih Sözdinler,,Işık University,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-540-77537-9_26,Multi-circular Layout of Micro/Macro Graphs,Michael Baur,Ulrik Brandes,,University of Konstanz,10.1007/978-3-642-00219-9_14,2007,,Universität Karlsruhe,10.1007/3-540-45848-4_14,10.1007/3-540-37623-2_28,10.1007/978-3-540-24595-7_13,10.1007/3-540-36151-0_2,10.1007/BFb0021835,10.1007/3-540-46648-7_22,10.1007/978-3-642-11805-0_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/978-3-540-70904-6_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_46,Visualizing the Results of Metabolic Pathway Queries,Lydia E. Kavraki,Allison P. Heath,George N. Bennett,Rice University,,2008,,Baylor College of Medicine,10.1007/3-540-45848-4_43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-540-77537-9_27,Constrained Simultaneous and Near-Simultaneous Embeddings,Fabrizio Frati,Michael Kaufmann,Stephen G. Kobourov,Universität Tübingen,10.1007/978-3-642-11805-0_18,2007,,Università di Roma Tre,10.1007/3-540-46648-7_7,10.1007/978-3-540-70904-6_12,10.1007/978-3-540-31843-9_21,,,,10.1007/978-3-642-00219-9_23,,10.1007/978-3-540-77537-9_27,10.1007/978-3-319-27261-0_14,10.1007/978-3-642-18469-7_4,10.1007/978-3-662-45803-7_22,,,,,,,,,,,,University of Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_43,Policy-Aware Visualization of Internet Dynamics,Luca Cittadini,Tiziana Refice,Giuseppe Di Battista,Università di Roma Tre,,2008,Claudio Sasso,,,,,,,,,Alessio Campisano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-540-77537-9_28,Simultaneous Geometric Graph Embeddings,Elisabeth Gassner,Michael Jünger,Alejandro Estrella Balderrama,Technische Universität Graz,10.1007/978-3-642-00219-9_16,2007,Merijam Percan,University of Arizona,10.1007/978-3-540-70904-6_12,10.1007/978-3-540-31843-9_21,,,,,10.1007/978-3-642-00219-9_17,Marcus Schaefer,10.1007/978-3-662-45803-7_4,10.1007/978-3-662-45803-7_3,10.1007/978-3-642-11805-0_18,10.1007/978-3-319-27261-0_14,10.1007/978-3-662-45803-7_22,,,,,,,,,,,Universität zu Köln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Schulz,,DePaul University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_44,Enhancing Visualizations of Business Processes,Martin Siebenhaller,Philip Effinger,Michael Kaufmann,Universität Tübingen,10.1007/978-3-642-11805-0_43,2008,,,10.1007/3-540-36151-0_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_29,Point-Set Embeddings of Plane 3-Trees,Rahnuma Islam Nishat,Md. Saidur Rahman,Debajyoti Mondal,Bangladesh University of Engineering and Technology (BUET),10.1007/978-3-642-25878-7_5,2010,,,10.1007/3-540-46648-7_17,10.1007/978-3-642-11805-0_30,10.1007/3-540-63938-1_47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_41,Dunnart: A Constraint-Based Network Diagram Authoring Tool,Tim Dwyer,Michael Wybrow,Kim Marriott,Monash University,10.1007/978-3-319-03841-4_39,2008,,,10.1007/3-540-63938-1_73,10.1007/3-540-45848-4_17,10.1007/3-540-62495-3_50,10.1007/11618058_40,10.1007/978-3-642-00219-9_22,10.1007/3-540-63938-1_66,10.1007/978-3-662-45803-7_27,,10.1007/978-3-642-11805-0_37,10.1007/978-3-642-00219-9_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_20,Improved Lower Bounds on the Area Requirements of Series-Parallel Graphs,Fabrizio Frati,,,Università di Roma Tre,,2010,,,10.1007/978-3-642-11805-0_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_42,Approximating the Crossing Number of Apex Graphs,Petra Mutzel,Petr Hliněný,Markus Chimani,Dortmund University of Technology,,2008,,Masaryk University,10.1007/978-3-540-70904-6_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-00219-9_40,Minimum Segment Drawings of Series-Parallel Graphs with the Maximum Degree Three,Md. Saidur Rahman,Md. Jawaherul Alam,Md. Abul Hassan Samee,Bangladesh University of Engineering and Technology,10.1007/978-3-642-00219-9_40,2008,Muhammad Abdullah Adnan,University of Illinois at Urbana-Champaign,10.1007/11618058_37,10.1007/3-540-63938-1_67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_24,Triangle Contact Representations and Duality,Alexandre Pinlou,Benjamin Lévêque,Daniel Gonçalves,CNRS & Univ. Montpellier 2,10.1007/978-3-642-25878-7_4,2010,,,10.1007/978-3-540-70904-6_40,10.1007/978-3-540-31843-9_8,10.1007/978-3-642-18469-7_23,,,,10.1007/978-3-662-45803-7_12,,10.1007/978-3-662-45803-7_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_23,On Touching Triangle Graphs,Yifan Hu,Stephen G. Kobourov,Emden R. Gansner,AT&T Research,10.1007/978-3-642-25878-7_4,2010,,University of Arizona,10.1007/978-3-540-77537-9_15,10.1007/3-540-45848-4_29,10.1007/11618058_6,10.1007/3-540-36151-0_23,,,10.1007/978-3-319-03841-4_14,,10.1007/978-3-319-03841-4_11,10.1007/978-3-642-36763-2_18,10.1007/978-3-642-18469-7_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_22,Optimal k-Level Planarization and Crossing Minimization,Peter J. Stuckey,Kim Marriott,Graeme Gange,Monash University,10.1007/978-3-319-27261-0_11,2010,,The University of Melbourne,10.1007/3-540-62495-3_57,10.1007/978-3-642-25878-7_9,10.1007/3-540-63938-1_46,10.1007/3-540-46648-7_21,10.1007/3-540-46648-7_22,,10.1007/978-3-319-03841-4_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-18469-7_21,A Computational Approach to Conway’s Thrackle Conjecture,János Pach,Radoslav Fulek,,Ecole Polytechnique Fédérale de Lausanne and City College,10.1007/978-3-642-36763-2_32,2010,,Ecole Polytechnique Fédérale de Lausanne,,,,,,,10.1007/978-3-662-45803-7_24,,10.1007/978-3-642-36763-2_31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-36763-2_34,"Canonical Ordering for Triangulations on the Cylinder, with Applications to Periodic Straight-Line Drawings",Éric Fusy,Olivier Devillers,Luca Castelli Aleardi,LIX - École Polytechnique,,2012,,INRIA Sophia Antipolis,10.1007/978-3-642-11805-0_7,10.1007/978-3-642-18469-7_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-36763-2_35,Planar Preprocessing for Spring Embedders,J. Joseph Fowler,Stephen G. Kobourov,,University of Arizona,10.1007/978-3-642-36763-2_35,2012,,,10.1007/BFb0021792,10.1007/978-3-642-18469-7_15,10.1007/3-540-62495-3_50,10.1007/978-3-642-11805-0_12,10.1007/978-3-642-00219-9_21,10.1007/978-3-642-00219-9_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/3-540-37623-2_33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-36763-2_32,Density Theorems for Intersection Graphs of t-Monotone Curves,Andrew Suk,,,Massachusetts Institute of Technology,10.1007/978-3-662-45803-7_24,2012,,,10.1007/978-3-642-18469-7_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-36763-2_33,The Visible Perimeter of an Arrangement of Disks,János Pach,Gábor Tardos,Gabriel Nivasch,EPFL,,2012,,Alfréd Rényi Institute of Mathematics,,,,,,,,,,,,,,,,,,,,,,,,Simon Fraser University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-642-36763-2_38,Drawing Clustered Graphs as Topographic Maps,Michael Jünger,Martin Gronemann,,Universität zu Köln,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
